"Team","Country","Rank","MatchPlayed","Won","Draw","Loss","GoalScored","GoalAgainst","GoalDifference","Points","PointsPerMatch","ExpectedGoals","ExpectedGoalsAgainst","ExpectedGoalsDifference","ExpectedGoalsPerMatch","Attendance","TopScorer"
"Leverkusen","de GER","1","34","34","6","0","89","24","+65","90","2.65","73.4","29.6","+43.8","+1.29","29,994","Victor Boniface - 14"
"Real Madrid","es ESP","1","36","29","6","1","83","22","+61","93","2.58","67.2","32.8","+34.4","+0.95","71,975","Jude Bellingham - 19"
"Inter","it ITA","1","36","29","5","2","86","19","+67","92","2.56","74.5","28.8","+45.7","+1.27","72,821","Lautaro Martínez - 24"
"Manchester City","eng ENG","1","37","27","7","3","93","33","+60","88","2.38","78.6","35.2","+43.4","+1.17","52,896","Erling Haaland - 27"
"Arsenal","eng ENG","2","37","27","5","5","89","28","+61","86","2.32","73.2","27.3","+45.9","+1.24","60,232","Bukayo Saka - 16"
"Paris S-G","fr FRA","1","33","21","10","2","79","33","+46","73","2.21","66.8","39.1","+27.6","+0.84","46,834","Kylian Mbappé - 27"
"Barcelona","es ESP","2","36","24","7","5","74","43","+31","79","2.19","74.9","38.9","+36.0","+1.00","40,070","Robert Lewandowski - 17"
"Stuttgart","de GER","2","34","23","4","7","78","39","+39","73","2.15","71.0","38.0","+32.9","+0.97","55,089","Serhou Guirassy - 28"
"Liverpool","eng ENG","3","37","23","10","4","84","41","+43","79","2.14","83.3","45.3","+38.0","+1.03","55,753","Mohamed Salah - 18"
"Bayern Munich","de GER","3","34","23","3","8","94","45","+49","72","2.12","85.1","32.4","+52.7","+1.55","75,000","Harry Kane - 36"
"Girona","es ESP","3","36","23","6","7","75","45","+30","75","2.08","63.6","50.1","+13.5","+0.37","12,504","Artem Dovbyk - 20"
"Atlético Madrid","es ESP","4","36","23","4","9","67","39","+28","73","2.03","58.7","37.0","+21.7","+0.60","59,161","Antoine Griezmann - 16"
"Milan","it ITA","2","37","22","8","7","73","46","+27","74","2.00","63.2","43.8","+19.4","+0.52","68,142","Olivier Giroud - 14"
"Monaco","fr FRA","2","33","19","7","7","64","42","+22","64","1.94","53.5","42.5","+11.0","+0.33","7,917","Wissam Ben Yedder - 15"
"RB Leipzig","de GER","4","34","19","8","7","77","39","+38","65","1.91","65.6","40.3","+25.3","+0.74","44,921","Loïs Openda - 24"
"Bologna","it ITA","3","36","18","13","5","51","27","+24","67","1.86","45.5","34.8","+10.7","+0.30","25,709","Joshua Zirkzee - 11"
"Juventus","it ITA","4","36","18","13","5","49","28","+21","67","1.86","53.0","28.0","+25.0","+0.69","37,338","Dušan Vlahović - 16"
"Dortmund","de GER","5","34","18","9","7","68","43","+25","63","1.85","63.6","52.0","+11.6","+0.34","81,305","Donyell Malen - 13"
"Aston Villa","eng ENG","4","37","20","8","9","76","56","+20","68","1.84","62.5","57.4","+5.1","+0.14","41,858","Ollie Watkins - 19"
"Atalanta","it ITA","5","36","20","6","10","67","39","+28","66","1.83","53.6","38.8","+14.8","+0.41","13,835","Teun Koopmeiners - 12"
"Lille","fr FRA","3","33","16","10","7","50","32","+18","58","1.76","47.4","35.6","+11.8","+0.36","39,585","Jonathan David - 19"
"Brest","fr FRA","4","33","16","10","7","50","34","+16","58","1.76","46.6","38.3","+8.3","+0.25","14,513","Romain Del Castillo - 8"
"Athletic Club","es ESP","5","36","17","11","8","58","37","+21","62","1.72","50.2","39.4","+10.8","+0.30","46,190","Gorka Guruzeta - 14"
"Tottenham","eng ENG","5","37","19","6","12","71","61","+10","63","1.70","65.1","62.4","+2.6","+0.07","61,482","Son Heung-min - 17"
"Roma","it ITA","6","36","17","9","10","63","44","+19","60","1.67","49.2","38.7","+10.5","+0.29","62,679","Paulo Dybala - 13"
"Nice","fr FRA","5","33","15","9","9","38","27","+11","54","1.64","49.1","34.3","+14.7","+0.45","24,952","Terem Moffi - 11"
"Lazio","it ITA","7","36","18","5","13","47","37","+10","59","1.64","44.9","39.5","+5.4","+0.15","38,950","Ciro Immobile - 7"
"Chelsea","eng ENG","6","37","17","9","11","75","62","+13","60","1.62","73.3","55.9","+17.4","+0.47","39,513","Cole Palmer - 22"
"Real Sociedad","es ESP","6","36","15","12","9","49","37","+12","57","1.58","43.9","37.4","+6.5","+0.18","31,767","Mikel Oyarzabal - 9"
